Signature;reachable;found
"<io.netty.handler.codec.http.HttpObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.http.HttpObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.buffer.SlicedByteBuf: void <init>(io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.SlicedByteBuf: void <init>(io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.SlicedByteBuf: void <init>(io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.SlicedByteBuf: void <init>(io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.SlicedByteBuf: void <init>(io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.SlicedByteBuf: void <init>(io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.util.concurrent.ImmediateEventExecutor: void execute(java.lang.Runnable)>";0;1
"<io.netty.util.concurrent.ImmediateEventExecutor: void execute(java.lang.Runnable)>";0;1
"<io.netty.util.concurrent.ImmediateEventExecutor: void execute(java.lang.Runnable)>";0;1
"<io.netty.buffer.UnpooledDirectByteBuf: void getBytes(int,java.nio.ByteBuffer,boolean)>";0;1
"<io.netty.buffer.UnpooledDirectByteBuf: void getBytes(int,java.nio.ByteBuffer,boolean)>";0;1
"<io.netty.buffer.UnpooledDirectByteBuf: void getBytes(int,java.nio.ByteBuffer,boolean)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
